,loss,train_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/training/learning_rate,config/training/gamma_scheduler,config/model/hidden_size_ODE,config/model/n_layers_hidden_ODE,config/model/activation_ODE,logdir
25,inf,,24.0,1729253546,,True,25,9d9f7a0b,2024-10-18_14-12-26,0.0368807315826416,1.5785243511199951,1913764,zimmerib,139.11.222.200,1.5785243511199951,25,0.06014915843679711,0.9995251703379574,69,3,none,9d9f7a0b
26,0.0005421154201030731,,,1729253551,,True,51,bb538f13,2024-10-18_14-12-31,0.0003178119659423828,2.767657518386841,1913849,zimmerib,139.11.222.200,2.767657518386841,51,0.05097662952338716,0.999225632031169,67,3,leaky_relu,bb538f13
27,3.459801284566057e+17,,24.0,1729253554,,True,25,d796a5dc,2024-10-18_14-12-34,0.046532630920410156,1.8328402042388916,1913950,zimmerib,139.11.222.200,1.8328402042388916,25,0.4187653940532365,0.9999940223892176,27,4,leaky_relu,d796a5dc
28,0.0009605519589968026,,,1729253559,,True,51,b857cf1e,2024-10-18_14-12-39,0.0007734298706054688,3.272787570953369,1914050,zimmerib,139.11.222.200,3.272787570953369,51,0.05634080782813683,0.9992048774813054,65,4,leaky_relu,b857cf1e
29,51.058040618896484,,24.0,1729253562,,True,25,62b4a687,2024-10-18_14-12-42,0.04180264472961426,1.9014852046966553,1914151,zimmerib,139.11.222.200,1.9014852046966553,25,0.05109236965024848,0.9992152168177447,66,3,leaky_relu,62b4a687
30,,,,1729253567,,True,51,1e6f51ac,2024-10-18_14-12-47,0.0003185272216796875,2.9176576137542725,1914235,zimmerib,139.11.222.200,2.9176576137542725,51,0.1517683799039072,0.9992374533353736,88,3,leaky_relu,1e6f51ac
31,,,,1729253571,,True,51,08dde56c,2024-10-18_14-12-51,0.0005178451538085938,2.522714138031006,1914335,zimmerib,139.11.222.200,2.522714138031006,51,0.15414360464816304,0.9990022652556786,88,2,leaky_relu,08dde56c
32,,,,1729253575,,True,51,78f60b1b,2024-10-18_14-12-55,0.0003371238708496094,2.4581120014190674,1914435,zimmerib,139.11.222.200,2.4581120014190674,51,0.16143228596127931,0.9992954334536726,87,2,leaky_relu,78f60b1b
33,,,,1729253579,,True,51,67bf9211,2024-10-18_14-12-59,0.0005061626434326172,2.626593828201294,1914537,zimmerib,139.11.222.200,2.626593828201294,51,0.15162078322921765,0.9992731651398886,88,2,leaky_relu,67bf9211
34,6.091748237609863,,24.0,1729253582,,True,25,31108dbb,2024-10-18_14-13-02,0.037084341049194336,1.6456849575042725,1914640,zimmerib,139.11.222.200,1.6456849575042725,25,0.12361900714293528,0.9994757635979284,86,2,leaky_relu,31108dbb
35,inf,,24.0,1729253587,,True,25,7e0b0a94,2024-10-18_14-13-07,0.036344051361083984,1.7036628723144531,1914724,zimmerib,139.11.222.200,1.7036628723144531,25,0.14622084057999538,0.9994632816107183,87,2,leaky_relu,7e0b0a94
36,0.324663370847702,,24.0,1729253591,,True,25,aa1d056d,2024-10-18_14-13-11,0.03925466537475586,1.716872215270996,1914825,zimmerib,139.11.222.200,1.716872215270996,25,0.18278652493513337,0.9990006194502145,50,3,relu,aa1d056d
37,inf,,24.0,1729253595,,True,25,1492d489,2024-10-18_14-13-15,0.04075264930725098,1.7640936374664307,1914928,zimmerib,139.11.222.200,1.7640936374664307,25,0.19512249475376128,0.9990018313119596,50,3,relu,1492d489
38,0.0012051857775077224,,,1729253600,,True,51,924fc258,2024-10-18_14-13-20,0.00043487548828125,2.7333037853240967,1915032,zimmerib,139.11.222.200,2.7333037853240967,51,0.030800367116429417,0.9992743132143314,42,3,relu,924fc258
39,371.4777526855469,,24.0,1729253603,,True,25,0de5ff7e,2024-10-18_14-13-23,0.03918027877807617,1.8508706092834473,1915117,zimmerib,139.11.222.200,1.8508706092834473,25,0.025303590479608257,0.999307065402855,77,3,none,0de5ff7e
40,inf,,24.0,1729253607,,True,25,2f9eb8bd,2024-10-18_14-13-27,0.04846525192260742,2.177565336227417,1915216,zimmerib,139.11.222.200,2.177565336227417,25,0.08308693936375158,0.99930968901358,76,4,leaky_relu,2f9eb8bd
41,,,,1729253612,,True,51,5cc0cd39,2024-10-18_14-13-32,0.0005362033843994141,3.097050666809082,1915319,zimmerib,139.11.222.200,3.097050666809082,51,0.2894068272345333,0.9993941536425481,21,4,leaky_relu,5cc0cd39
42,,,,1729253616,,True,51,c7088886,2024-10-18_14-13-36,0.0003669261932373047,2.6226048469543457,1915421,zimmerib,139.11.222.200,2.6226048469543457,51,0.2946653403176619,0.9991246476515409,92,2,leaky_relu,c7088886
43,0.11660142242908478,,24.0,1729253619,,True,25,79fabf07,2024-10-18_14-13-39,0.035016775131225586,1.5776243209838867,1915522,zimmerib,139.11.222.200,1.5776243209838867,25,0.1422129113961831,0.9994149091329434,59,2,leaky_relu,79fabf07
44,0.0005743768415413797,,,1729253624,,True,51,ab85ecd5,2024-10-18_14-13-44,0.0004343986511230469,2.5666656494140625,1915607,zimmerib,139.11.222.200,2.5666656494140625,51,0.14427748938660254,0.9991339967922412,19,2,leaky_relu,ab85ecd5
45,0.0006903521134518087,,,1729253629,,True,51,6e3eb9d9,2024-10-18_14-13-49,0.0004258155822753906,3.432173728942871,1915708,zimmerib,139.11.222.200,3.432173728942871,51,0.006980992876510996,0.9999801345967916,99,4,relu,6e3eb9d9
46,0.0012430751230567694,,,1729253632,,True,51,558628a0,2024-10-18_14-13-52,0.0004367828369140625,2.482630491256714,1915809,zimmerib,139.11.222.200,2.482630491256714,51,0.09235630329190911,0.9991330377270445,20,2,leaky_relu,558628a0
47,0.0022310151252895594,,,1729253636,,True,51,feeb8496,2024-10-18_14-13-56,0.0003228187561035156,2.4529571533203125,1915911,zimmerib,139.11.222.200,2.4529571533203125,51,0.07743937951038378,0.9991471906896711,18,2,leaky_relu,feeb8496
