,loss,train_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/training/learning_rate,config/training/gamma_scheduler,config/model/hidden_size_ODE,config/model/n_layers_hidden_ODE,config/model/activation_ODE,logdir
0,,,,1729160929,,True,51,99e22829,2024-10-17_12-28-49,0.0004210472106933594,26.843036651611328,3697212,zimmerib,139.11.222.200,26.843036651611328,51,0.4367159671018802,0.9999685406628209,89,3,elu,99e22829
1,,,,1729160930,,True,51,d19252c5,2024-10-17_12-28-50,0.0004990100860595703,23.92526912689209,3697338,zimmerib,139.11.222.200,23.92526912689209,51,0.26134210892957127,0.9994783917958024,60,3,relu,d19252c5
2,0.41868487000465393,,,1729160925,,True,51,b55713d8,2024-10-17_12-28-45,0.0003769397735595703,15.2440505027771,3699474,zimmerib,139.11.222.200,15.2440505027771,51,0.1445446232587637,0.9999738552412004,40,1,leaky_relu,b55713d8
3,0.07410923391580582,,,1729160942,,True,51,e4b6ace0,2024-10-17_12-29-02,0.0004343986511230469,28.367543697357178,3699559,zimmerib,139.11.222.200,28.367543697357178,51,0.03548071294665187,0.999224769938968,45,4,leaky_relu,e4b6ace0
4,,,,1729160940,,True,51,9a81d7a0,2024-10-17_12-29-00,0.00044608116149902344,22.549649000167847,3699661,zimmerib,139.11.222.200,22.549649000167847,51,0.19048563501303448,0.9997641601313659,95,2,elu,9a81d7a0
5,0.07964003831148148,,,1729160938,,True,51,d8653e21,2024-10-17_12-28-58,0.0006208419799804688,16.491786003112793,3699761,zimmerib,139.11.222.200,16.491786003112793,51,0.03435437982774403,0.9996036444763691,82,1,elu,d8653e21
6,0.2525845766067505,,24.0,1729160938,,True,25,715a9b6d,2024-10-17_12-28-58,0.47558021545410156,13.017796039581299,3699861,zimmerib,139.11.222.200,13.017796039581299,25,0.0194657596981845,0.999446422907518,27,3,elu,715a9b6d
7,,,,1729160951,,True,51,08482b53,2024-10-17_12-29-11,0.0003788471221923828,22.050719499588013,3699945,zimmerib,139.11.222.200,22.050719499588013,51,0.36558190440601157,0.9999396510394412,95,2,leaky_relu,08482b53
8,11.568615913391113,,24.0,1729160941,,True,25,4bb39daa,2024-10-17_12-29-01,0.34791064262390137,8.978322744369507,3700047,zimmerib,139.11.222.200,8.978322744369507,25,0.004446054069719574,0.9990678964035654,49,2,none,4bb39daa
9,,,,1729160964,,True,51,c659c8ca,2024-10-17_12-29-24,0.0006263256072998047,28.10983371734619,3700146,zimmerib,139.11.222.200,28.10983371734619,51,0.15320486436105038,0.9994043954647748,84,3,elu,c659c8ca
10,,,,1729160961,,True,51,83c9c684,2024-10-17_12-29-21,0.0005445480346679688,20.948099613189697,3700230,zimmerib,139.11.222.200,20.948099613189697,51,0.4331321788239949,0.9992034097721519,37,2,elu,83c9c684
11,,,,1729160967,,True,51,d25ffdb7,2024-10-17_12-29-27,0.0004296302795410156,23.079641103744507,3700332,zimmerib,139.11.222.200,23.079641103744507,51,0.4696026759705756,0.9997233834149872,26,3,elu,d25ffdb7
12,0.4899815022945404,,24.0,1729160961,,True,25,35b67acf,2024-10-17_12-29-21,0.506056547164917,13.667633295059204,3700433,zimmerib,139.11.222.200,13.667633295059204,25,0.06920096951097797,0.9996353979141789,10,4,leaky_relu,35b67acf
13,,,,1729160975,,True,51,91a73f0a,2024-10-17_12-29-35,0.0006279945373535156,23.64425539970398,3700533,zimmerib,139.11.222.200,23.64425539970398,51,0.4249801455219585,0.9998128175356382,31,3,relu,91a73f0a
14,,,,1729160988,,True,51,ae047eba,2024-10-17_12-29-48,0.00455164909362793,32.16009163856506,3700618,zimmerib,139.11.222.200,32.16009163856506,51,0.23118541566822512,0.9990007438894434,99,4,leaky_relu,ae047eba
15,,,,1729160975,,True,51,27b9a7f0,2024-10-17_12-29-35,0.0003380775451660156,15.904667854309082,3700718,zimmerib,139.11.222.200,15.904667854309082,51,0.26465093322964195,0.9995648231106837,85,1,relu,27b9a7f0
16,299.77752685546875,,24.0,1729160973,,True,25,6354e0e4,2024-10-17_12-29-33,0.3693830966949463,10.140068054199219,3700820,zimmerib,139.11.222.200,10.140068054199219,25,0.31892405260216955,0.9998829061403613,12,2,relu,6354e0e4
