,epochs,train,val,test
0,0.0,0.047418855130672455,0.04135076701641083,0.09403477609157562
1,1.0,0.019098499789834023,0.02880392037332058,0.08665304630994797
2,2.0,0.01273641549050808,0.006638497579842806,0.01605934090912342
3,3.0,0.003302642609924078,0.0012325718998908997,0.0017199937719851732
4,4.0,0.0006645795074291527,0.006287799682468176,0.00867469422519207
5,5.0,0.003421330824494362,0.005903684068471193,0.005229535512626171
6,6.0,0.0035471105948090553,0.004379791673272848,0.0035814079456031322
7,7.0,0.0025185574777424335,0.001775856944732368,0.0021450724452733994
8,8.0,0.0008454005001112819,0.0002667732769623399,0.00045228033559396863
9,9.0,0.0001915939647005871,0.001168950810097158,0.0006277995998971164
10,10.0,0.000905242282897234,0.0023760900367051363,0.0016836345894262195
11,11.0,0.00160894391592592,0.0019832137040793896,0.001124352915212512
12,12.0,0.0013870765687897801,0.000949960551224649,0.0004793667758349329
13,13.0,0.0007271940121427178,0.000432846398325637,0.0007012424757704139
14,14.0,0.0002789693826343864,0.0004183160199318081,0.0008729159599170089
15,15.0,0.00017385232786182314,0.0006158241303637624,0.0008917555096559227
16,16.0,0.00027769958251155913,0.0010215529473498464,0.0013482003705576062
17,17.0,0.0005208415677770972,0.001276835915632546,0.0018147298833355308
18,18.0,0.0006643673405051231,0.0010096236364915967,0.0015099133597686887
19,19.0,0.0005184712936170399,0.0004645980952773243,0.0007342019816860557
20,20.0,0.000227722164709121,0.00014727370580658317,0.0003389983903616667
21,21.0,5.9439200413180515e-05,0.00014783933875150979,0.00039510754868388176
22,22.0,7.065122190397233e-05,0.000247453834163025,0.0003790745104197413
23,23.0,0.0001564347476232797,0.0003538411983754486,0.00024308828869834542
24,24.0,0.0002483476710040122,0.00042814764310605824,0.00022520730271935463
25,25.0,0.0002971398353110999,0.00034678669180721045,0.0001914035965455696
26,26.0,0.00023877424246165901,0.00013962599041406065,5.926086305407807e-05
27,27.0,0.00010404524073237553,2.095739728247281e-05,5.3801977628609166e-05
28,28.0,1.6862502889125608e-05,6.873974052723497e-05,0.00019304601300973445
29,29.0,3.2439293136121705e-05,0.00015748836449347436,0.00026378678740002215
30,30.0,8.923592395149171e-05,0.00020606904581654817,0.00026197716942988336
31,31.0,0.00012846874597016722,0.00022438581800088286,0.000299863371765241
32,32.0,0.00013940304052084684,0.00018433529476169497,0.00028994338936172426
33,33.0,0.00011016871576430276,7.90710182627663e-05,0.00014160429418552667
34,34.0,4.840022302232683e-05,7.166807790781604e-06,2.2780885046813637e-05
35,35.0,7.95378400653135e-06,3.5713590477826074e-05,7.615025242557749e-05
36,36.0,2.121791294484865e-05,9.823919390328228e-05,0.00015892615192569792
37,37.0,5.557790427701548e-05,0.00012065709597663954,0.00013158406363800168
38,38.0,7.250290218507871e-05,0.0001100124791264534,7.229691254906356e-05
39,39.0,6.929059600224718e-05,7.990628364495933e-05,4.708691267296672e-05
40,40.0,5.04011259181425e-05,3.248855136916973e-05,2.1187101083341986e-05
41,41.0,2.1421397832455114e-05,4.57791884400649e-06,9.191410754283424e-06
42,42.0,5.409791356214555e-06,2.1531326638069004e-05,4.112976967007853e-05
43,43.0,1.596164656803012e-05,4.990615343558602e-05,7.399562309728935e-05
44,44.0,3.3842516131699085e-05,5.720638728234917e-05,7.829225069144741e-05
45,45.0,3.87615873478353e-05,4.888529656454921e-05,7.666884630452842e-05
46,46.0,3.202497828169726e-05,3.262289465055801e-05,6.509373633889481e-05
47,47.0,2.0180592400720343e-05,1.1426317541918252e-05,2.897899685194716e-05
