,loss,train_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/training/learning_rate,config/training/gamma_scheduler,config/model/hidden_size_FDE,config/model/n_layers_hidden_FDE,config/model/activation_FDE,config/model/alpha,logdir
0,,,,1729273136,,True,51,f7c7d254,2024-10-18_19-38-56,0.0005521774291992188,2.7083969116210938,2430820,zimmerib,139.11.222.200,2.7083969116210938,51,0.4367159671018802,0.9999685406628209,89,3,elu,0.7613373356762848,f7c7d254
1,inf,,,1729273140,,True,51,f9437286,2024-10-18_19-39-00,0.0003859996795654297,2.436697483062744,2432863,zimmerib,139.11.222.200,2.436697483062744,51,0.2392011139832432,0.9995553564738223,59,4,relu,0.9869276206002231,f9437286
2,0.00695907324552536,,,1729273144,,True,51,679399e6,2024-10-18_19-39-04,0.00039124488830566406,2.454965591430664,2433055,zimmerib,139.11.222.200,2.454965591430664,51,0.16689368501488008,0.9992188010608198,15,4,leaky_relu,0.6968174574718025,679399e6
3,inf,,,1729273147,,True,51,759503b7,2024-10-18_19-39-07,0.0004138946533203125,1.8779888153076172,2433158,zimmerib,139.11.222.200,1.8779888153076172,51,0.4480735409902688,0.9993454616119979,99,1,none,0.6598448982335139,759503b7
4,,,,1729273151,,True,51,02ee2c97,2024-10-18_19-39-11,0.0005605220794677734,2.5212435722351074,2433258,zimmerib,139.11.222.200,2.5212435722351074,51,0.21624364163588003,0.9992701457415915,82,3,elu,0.7277239110529665,02ee2c97
5,inf,,,1729273154,,True,51,6ab451c2,2024-10-18_19-39-14,0.0004565715789794922,2.0231406688690186,2433342,zimmerib,139.11.222.200,2.0231406688690186,51,0.39508836894372945,0.9999885965181138,63,1,elu,0.5754850538287481,6ab451c2
6,,,,1729273159,,True,51,b93e7f92,2024-10-18_19-39-19,0.0003643035888671875,2.50325870513916,2433443,zimmerib,139.11.222.200,2.50325870513916,51,0.26807679189672046,0.9991003867942245,76,4,relu,0.7552902276266351,b93e7f92
7,5.584880352020264,,,1729273162,,True,51,916fbacc,2024-10-18_19-39-22,0.0003821849822998047,2.019261598587036,2433545,zimmerib,139.11.222.200,2.019261598587036,51,0.23545158189610832,0.9990088722855851,16,2,none,0.8604622333437917,916fbacc
8,inf,,,1729273166,,True,51,15ffcbe9,2024-10-18_19-39-26,0.0004456043243408203,2.410160779953003,2433647,zimmerib,139.11.222.200,2.410160779953003,51,0.15320486436105038,0.9994043954647748,84,3,elu,0.9331308414408237,15ffcbe9
9,11.824131965637207,,,1729273170,,True,51,4d5ef272,2024-10-18_19-39-30,0.000301361083984375,1.964191198348999,2433731,zimmerib,139.11.222.200,1.964191198348999,51,0.10171285197827373,0.9992985348512836,53,2,none,0.8616917074936369,4d5ef272
10,47.26809310913086,,24.0,1729273173,,True,25,35f4d875,2024-10-18_19-39-33,0.03648495674133301,1.6176657676696777,2433831,zimmerib,139.11.222.200,1.6176657676696777,25,0.08938672026377713,0.9996197254165959,61,4,relu,0.5041541872162851,35f4d875
11,,,,1729273178,,True,51,0360c872,2024-10-18_19-39-38,0.0006890296936035156,2.7357585430145264,2433934,zimmerib,139.11.222.200,2.7357585430145264,51,0.3942937464162997,0.9995020773926355,100,4,leaky_relu,0.8284266471027871,0360c872
12,inf,,24.0,1729273180,,True,25,76621d75,2024-10-18_19-39-40,0.0312955379486084,1.4537596702575684,2434018,zimmerib,139.11.222.200,1.4537596702575684,25,0.4885857290641141,0.9997315685148024,18,3,elu,0.6086055764581071,76621d75
13,inf,,24.0,1729273185,,True,25,ba2f8eff,2024-10-18_19-39-45,0.03077840805053711,1.6195366382598877,2434120,zimmerib,139.11.222.200,1.6195366382598877,25,0.30269269688129535,0.9994719531205359,42,3,leaky_relu,0.7518063724703443,ba2f8eff
