,loss,train_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/training/learning_rate,config/training/gamma_scheduler,config/model/hidden_size_FDE,config/model/n_layers_hidden_FDE,config/model/activation_FDE,config/model/alpha,logdir
0,,,,1729241290,,True,51,e176e3a7,2024-10-18_10-48-10,0.0006606578826904297,18.226680755615234,1595278,zimmerib,139.11.222.200,18.226680755615234,51,0.4367159671018802,0.9999685406628209,89,3,elu,0.7613373356762848,e176e3a7
1,,,,1729241293,,True,51,54557eae,2024-10-18_10-48-13,0.0019392967224121094,17.322737216949463,1597343,zimmerib,139.11.222.200,17.322737216949463,51,0.2392011139832432,0.9995553564738223,59,4,relu,0.9869276206002231,54557eae
2,,,,1729241295,,True,51,16df2b29,2024-10-18_10-48-15,0.0004475116729736328,16.157986879348755,1597538,zimmerib,139.11.222.200,16.157986879348755,51,0.16689368501488008,0.9992188010608198,15,4,leaky_relu,0.6968174574718025,16df2b29
3,,,,1729241294,,True,51,13bfa53f,2024-10-18_10-48-14,0.0004165172576904297,10.562630414962769,1597641,zimmerib,139.11.222.200,10.562630414962769,51,0.4480735409902688,0.9993454616119979,99,1,none,0.6598448982335139,13bfa53f
4,,,,1729241304,,True,51,26b2b48b,2024-10-18_10-48-24,0.00043487548828125,16.32120156288147,1597725,zimmerib,139.11.222.200,16.32120156288147,51,0.21624364163588003,0.9992701457415915,82,3,elu,0.7277239110529665,26b2b48b
5,,,,1729241303,,True,51,da0f2d30,2024-10-18_10-48-23,0.00042057037353515625,11.279348373413086,1597825,zimmerib,139.11.222.200,11.279348373413086,51,0.39508836894372945,0.9999885965181138,63,1,elu,0.5754850538287481,da0f2d30
6,,,,1729241313,,True,51,3fbea94a,2024-10-18_10-48-33,0.0005247592926025391,17.873905420303345,1597926,zimmerib,139.11.222.200,17.873905420303345,51,0.26807679189672046,0.9991003867942245,76,4,relu,0.7552902276266351,3fbea94a
7,,,,1729241311,,True,51,92089c03,2024-10-18_10-48-31,0.0004296302795410156,11.736617088317871,1598026,zimmerib,139.11.222.200,11.736617088317871,51,0.23545158189610832,0.9990088722855851,16,2,none,0.8604622333437917,92089c03
8,,,,1729241320,,True,51,ab1925a2,2024-10-18_10-48-40,0.000457763671875,16.69632577896118,1598111,zimmerib,139.11.222.200,16.69632577896118,51,0.15320486436105038,0.9994043954647748,84,3,elu,0.9331308414408237,ab1925a2
9,,,,1729241320,,True,51,786221e9,2024-10-18_10-48-40,0.0005056858062744141,12.813201427459717,1598212,zimmerib,139.11.222.200,12.813201427459717,51,0.10171285197827373,0.9992985348512836,53,2,none,0.8616917074936369,786221e9
10,15.575758934020996,,24.0,1729241320,,True,25,5748cffc,2024-10-18_10-48-40,0.32538628578186035,8.944907426834106,1598314,zimmerib,139.11.222.200,8.944907426834106,25,0.08938672026377713,0.9996197254165959,61,4,relu,0.5041541872162851,5748cffc
11,,,,1729241334,,True,51,f18e8dc6,2024-10-18_10-48-54,0.00042819976806640625,18.80182981491089,1598415,zimmerib,139.11.222.200,18.80182981491089,51,0.3942937464162997,0.9995020773926355,100,4,leaky_relu,0.8284266471027871,f18e8dc6
12,,,,1729241333,,True,51,d1f3fc1d,2024-10-18_10-48-53,0.0005154609680175781,14.46097469329834,1598499,zimmerib,139.11.222.200,14.46097469329834,51,0.4885857290641141,0.9997315685148024,18,3,elu,0.6086055764581071,d1f3fc1d
13,,,,1729241337,,True,51,d24fd2ea,2024-10-18_10-48-57,0.0003829002380371094,14.837465524673462,1598601,zimmerib,139.11.222.200,14.837465524673462,51,0.30269269688129535,0.9994719531205359,42,3,leaky_relu,0.7518063724703443,d24fd2ea
